,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
259,Momma,Espere um Pouco... Um Pouquinho Mais,Nilton Cesar,Grandes Sucessos - Nilton Cesar,23,2000-02-25,277600
260,Momma,Adeus Solidão (Pickin' Up Pebbles),Carmen Silva,Grandes Sucessos - Carmen Silva,34,2000-02-25,205493
261,Momma,Goodbye My Love Goodbye,Demis Roussos,Demis Roussos - Greatest Hits (1971 - 1980),49,1983-01-01,237533
262,Momma,Forever And Ever,Demis Roussos,Forever And Ever,49,1973,221266
263,Momma,My Friend The Wind,Demis Roussos,Forever And Ever,35,1973,235626
264,Momma,These Arms of Mine,Otis Redding,Pain in My Heart,63,1964,154533
265,Momma,These Arms of Mine,Otis Redding,The Very Best of Otis Redding,47,1992-11-06,154293
266,Momma,Contigo Aprendí,Armando Manzanero,"Mis Canciones, Mi Voz, Mi Piano",49,1998-05-01,218560
267,Momma,Mona Lisa,Nat King Cole,Unforgettable,52,1954-01-01,194986
268,Momma,Padam padam,Édith Piaf,Eternelle,54,1987-10-31,197626
269,Momma,Unforgettable,Nat King Cole,Unforgettable,67,1954-01-01,191973
270,Momma,Fernando,ABBA,Arrival,67,1976,252960
271,Lina's Country Classics,Check Yes Or No,George Strait,Strait Out Of The Box,70,1995-09-12,200666
272,Lina's Country Classics,Troubadour,George Strait,Troubadour,66,2008-01-01,176226
273,Lina's Country Classics,Carrying Your Love With Me,George Strait,Carrying Your Love With Me,69,1997-01-01,232426
274,Lina's Country Classics,Here For A Good Time,George Strait,Here For A Good Time,64,2011-01-01,180266
275,Lina's Country Classics,Heartland - Pure Country/Soundtrack Version,George Strait,Pure Country,55,1992-01-01,138160
276,Lina's Country Classics,I Cross My Heart - Pure Country Soundtrack Version,George Strait,Pure Country,64,1992-01-01,212000
277,Lina's Country Classics,Neon Moon,Brooks & Dunn,#1s ... and then some,72,2009-09-08,263760
278,Lina's Country Classics,Don't Take The Girl,Tim McGraw,Number One Hits,46,2010-11-30,249360
279,Lina's Country Classics,People Are Crazy,Billy Currington,Best Of,46,2011-01-01,231506
280,Lina's Country Classics,There Goes My Life,Kenny Chesney,Greatest Hits II,44,2009-05-19,301053
